Eibischweg;M0 2;M0 2;M0 2;8
Eichendorffweg;D0 1;DO 1;FR 2;28
Eichenstr.;D0 1;MI 1;MO 2;30
Eifelweg;MI 1;MI 1;MI 2;2
Elbestr.;D0 2;FR 1;M0 1;12
Elbinger Str.;D0 1;D0 1;D0 2;4
Elisabethstr.;D0 2;MI 1;D0 2;29
Elsa-Brändström-Str.;D0 2;D0 2;D0 2;10
Elsternstr.;DI 2;DI 2;DI 2;15
Emslandstr.;D0 2;DO 2;D0 2;16
Erlbrüggestr. (außer 1-7);M0 1;FR1;FR 2;26
ErIbrüggestr.1-7;FR1;FR1;FR2;27
Erlenkampstr.;D02;D02;D02;10
Ernst-BarTach-Str.;FR1;FR1;FR2;26
ErperFeld;FR2;FR2;M01;1
Fährweg;M0 1;Dl’1;DI 2;12
Falkenstr.;DI 2;DI 2;DI 2;15
Fanny-Hensel-Weg;M0 1;M0 1;M0 2;6
Fasanenstr.;DI 2;DI 2;DI 2;15
Feldweg;M0 1;DI 1;D! 2;12
Femstr.;FR 2;FR 2;M0 1;26
Feuerbachstr.;FR1;FR1;FR 2;26
Fichteweg;D0 1;D0 1;FR 2;28
Finkenstr.;DI 2;DI 2;DI 2;15
Flämingstr.;MI 1;MI 1;MI 2;30
Fliederstr.;MI 2;MI 2;MI 2;5
Flö8wiese;MI 2;MI 2;MI 2;17
Flurstr.;DI 1;DI 1;DI 2;7
Försterbusch;D0 1;D0 2;D0 2;14
Forststr.;M0 1;FR 1;M0 1;12
Frankenstr.;MI 1;MI 1;MI 2;2
Franz-EmsChermann-Str.;FR1;FR 2;M0 1;9
Franz-Knauschner-Str.;FR1;FR1;FR 2;11
Franz-Lehär-Str.;M0 1;M0 2;M0 2;6
Freerbruchstr. 1-36;D0 1;D0 1;D0 2;4
Freerbruchstr. 62-135;D0 1;MI 1;MI 2;30
Freiligrathstr.;FR 2;FR1;FR 2;27
Frentroper Str.;FR1;FR 2;M0 1;12
Friedhofstr.;FR 2;FR 2;M0 1;9
Friedrich-Ebert-Str.;FR 2;FR 1;M0 1;25
Friedrich-EngeIs-Str. (außer 13-19);D0 2;D0 2;D0 2;16
Friedrich-Enge!s-Str. 13-19;MI 2;D0 2;D0 2;16
Friedrichstr.;M0 2;M0 2;M0 2;13
Friedrich—Wilhelm-Weber-Str.;FR 2;FR 1;FR 2;27
Friesenstr.;MI 1;MI 1;MI 2;2
Fritz-Haber-Str.;DO 1;D0 2;D0 2;14
Fritz-Reuter-Str.;M0 1;M0 2;M0 2;22
Fuldastr.;D0 2;FR1;MO 1;12
Garmannstr.;Fr 2;FR1;FR 2;25
Gartenstr.;Di 1;DI 1;DI 2;7
Gaußstr.;Do 2;D0 2;D0 2;14
Gebrüder-Grimm-Str.;Do 1;D0 1;FR 2;28
Geibelstr.;Do 1;D0 1;FR 2;28
Gendorfer Str.;Mi 2;MI 2;MI 2;10
Georg-Herwegh-Str. 1-67;Mo 1;MO 1;M0 2;23
Georg—Herwegh-Str. 100-191;Mo 1;M0 1;M0 2;6
Georg—Kolbe-Weg;Fr 1;FR1;FR 2;26
Gerdastr.;Do 2;D0 1;D0 2;29
Gerhard Jüttner-Weg;Mo 1;M0 1;Mo 2;23
Gerhan-Hauptmann-Str.;Do 1;D0 1;FR 2;28
Gernotstr.;Mi 1;MI 1;MI 2;24
Gersdorffstr.;Mi 1;MI 1;DI 2;13
Gersthofener Str, ;Mi 2;MI 2;MI 2;10
Ginsterweg;Mo 2;M0 2;M0 2;8
Gladiolenstr.;Mi 2;MI 2;MI 2;5
Glatzer Str.;Fr 2;Fr 1;Do 2;4
Gleiwitzer Str.;Fr 2;Fr 1;Do 2;4
Glogauer Str. ;Fr 2;Fr 1;Do 2;4
Glückaufstr.;FR 2;MI 1;FR 2;11
Gluckstr.;M0 1;M0 1;MO 2;6
Goethestr.;FR 2;FR1;FR 2;28
Goldammerweg;DI 1;DI 1;DI 2;19
Goldregenstr.;M0 2;M0 2;M0 2;8
Grabbestr.;FR 2;FR 1;FR 2;27
Grabengasse;DI 1;DI 1;DI 2;7
Graewenkolkstr.;M0 1;M0 1;M0 2;21
Greifenberger Str.;D0 1;D0 1;D0 2;4
Grenzstra8e;FR1;FR 2;M0 1;12
Griesheimer Str.;Mi 2;Mi 2;Mi 2;10
Grillparzerweg.;Do 1;Do 1;Fr 2;28
Grotekampstr.;Mi 1;Do 2;Mi 2;17
Grubenfeld;FR 2;FR1;FR 2;11
Grünberger Str.;FR 2;FR 1;D0 2;4
Grüne Str.;FR 2;MI 1;FR 2;11
Grüner Weg;FR 2;MI 1;FR 2;11
Grüner WinKel;FR 2;MI 1;FR 2;11
Gudrunstr.;MI 1;MI 1;MI 2;24
Guido-HeiIand-Str.;FR 2;FR 1;M0 1;25
Gunterstr.;MI 2;MI 2;MI 2;24
Gustav-Feqag-St.;D01;D01;FR 2;28
Gustav-Mahler-Str. ;Di 2;Di 2;Mo 2;23
Haardgrenzweg  ;Do 1;M0 1;Mo 2;18
Haardstr.     ;Do 2;D0 1;Do 2;29
Habichtstr.    ;Di 1;DI 1;Di 2;19
Hadubrandstr.  ;Mi 2;MI 2;Mi 2;24
Hafenweg  ;Mo 1;DI 1;Di 2;7
Hagenstr.  ;Do 1;DO 2;Do 2;14
Halterner Str. 16-84 ;Do 1;M0 2;Mo 2;18
Halterner Str. 245-393;Do 1;M0 1;Mo 2;18
Halterner Str. 75-228;Mo 1;M0 1;Mo 2;18
Hamalandweg;Mi1;MI 1;Mi 2;2
Hammer Str.;Di 1;DI 1;Di 2;7
Hammkamp ;Fr 2;FR 2;Mo 1;9
Händelstr.  ;Mo 1;MO 2;Mo 2;6
Hänflingweg  ;Di 1;DI 1;Di 2;19
Hans-Josef-0verbeck-Straße;Do 2;D0 2;Do 2;16
Hans-Sachs-Weg;FR 2;FR 1;FR 2;27
Hans-Thoma-Str.;FR1;FR 1;FR 2;26
Haselnußweg;M0 2;M0 2;M0 2;18
